date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:10:53	66618/66618	---M--	200	added ('OK')	image/png	etag:%22025cd7b5fa5d24209b611d448b12a372-ssl%22	https://irvingtoncti.org/assets/img/gallery/lakshana.png	C:/Users/adity/WebstormProjects/citmsjhs/irvingtoncti.org/assets/img/gallery/lakshana.png	(from https://irvingtoncti.org/)
12:10:53	119053/119053	---M--	200	added ('OK')	image/jpeg	etag:%2222b50cc161f5a76a9a63dae58600af28-ssl%22	https://irvingtoncti.org/assets/img/gallery/homepagepic.jpg	C:/Users/adity/WebstormProjects/citmsjhs/irvingtoncti.org/assets/img/gallery/homepagepic.jpg	(from https://irvingtoncti.org/)
12:10:54	8636/8636	---M-Z	200	added ('OK')	application/javascript	etag:%22c05c258734919677d4b57e4face30ae4-ssl-df%22	https://irvingtoncti.org/assets/js/vendor/modernizr-3.5.0.min.js	C:/Users/adity/WebstormProjects/citmsjhs/irvingtoncti.org/assets/js/vendor/modernizr-3.5.0.min.js	(from https://irvingtoncti.org/)
12:10:54	97163/97163	---MCZ	200	added ('OK')	application/javascript	etag:%22cc10e369fba2226f35a2699d0012868a-ssl-df%22	https://irvingtoncti.org/assets/js/vendor/jquery-1.12.4.min.js	C:/Users/adity/WebstormProjects/citmsjhs/irvingtoncti.org/assets/js/vendor/jquery-1.12.4.min.js	(from https://irvingtoncti.org/)
12:10:54	19188/19188	---MCZ	200	added ('OK')	application/javascript	etag:%22d13ab345bc56f48a2579328a925caa2d-ssl-df%22	https://irvingtoncti.org/assets/js/popper.min.js	C:/Users/adity/WebstormProjects/citmsjhs/irvingtoncti.org/assets/js/popper.min.js	(from https://irvingtoncti.org/)
12:10:55	48944/48944	---MCZ	200	added ('OK')	application/javascript	etag:%22c016f0f3655f621cec21e5dfed124d6c-ssl-df%22	https://irvingtoncti.org/assets/js/bootstrap.min.js	C:/Users/adity/WebstormProjects/citmsjhs/irvingtoncti.org/assets/js/bootstrap.min.js	(from https://irvingtoncti.org/)
12:10:55	8415/8415	---M-Z	200	added ('OK')	application/javascript	etag:%22a6712276d294d19ada4a116f2c18dde0-ssl-df%22	https://irvingtoncti.org/assets/js/jquery.slicknav.min.js	C:/Users/adity/WebstormProjects/citmsjhs/irvingtoncti.org/assets/js/jquery.slicknav.min.js	(from https://irvingtoncti.org/)
12:10:56	42766/42766	---MCZ	200	added ('OK')	application/javascript	etag:%2299315d4d5913a4eb6259ea8083135254-ssl-df%22	https://irvingtoncti.org/assets/js/owl.carousel.min.js	C:/Users/adity/WebstormProjects/citmsjhs/irvingtoncti.org/assets/js/owl.carousel.min.js	(from https://irvingtoncti.org/)
12:10:56	42863/42863	---MCZ	200	added ('OK')	application/javascript	etag:%224c6a951a7cecb03a55751a90d10b147c-ssl-df%22	https://irvingtoncti.org/assets/js/slick.min.js	C:/Users/adity/WebstormProjects/citmsjhs/irvingtoncti.org/assets/js/slick.min.js	(from https://irvingtoncti.org/)
12:10:56	8415/8415	---MCZ	200	added ('OK')	application/javascript	etag:%22afbd16eeb1682d0d42e6029e506453f8-ssl-df%22	https://irvingtoncti.org/assets/js/wow.min.js	C:/Users/adity/WebstormProjects/citmsjhs/irvingtoncti.org/assets/js/wow.min.js	(from https://irvingtoncti.org/)
12:10:57	2822/2822	---M-Z	200	added ('OK')	application/javascript	etag:%22686fffd2f6c574f17e6ea02c1faa80bf-ssl-df%22	https://irvingtoncti.org/assets/js/animated.headline.js	C:/Users/adity/WebstormProjects/citmsjhs/irvingtoncti.org/assets/js/animated.headline.js	(from https://irvingtoncti.org/)
12:10:57	20216/20216	---MCZ	200	added ('OK')	application/javascript	etag:%22de7e372104543a7f474f79429d52f241-ssl-df%22	https://irvingtoncti.org/assets/js/jquery.magnific-popup.js	C:/Users/adity/WebstormProjects/citmsjhs/irvingtoncti.org/assets/js/jquery.magnific-popup.js	(from https://irvingtoncti.org/)
12:10:58	177487/177487	---MCZ	200	added ('OK')	application/javascript	etag:%226143e20195cb26a1dbe546c77ae97a04-ssl-df%22	https://irvingtoncti.org/assets/js/gijgo.min.js	C:/Users/adity/WebstormProjects/citmsjhs/irvingtoncti.org/assets/js/gijgo.min.js	(from https://irvingtoncti.org/)
12:10:58	2942/2942	---M-Z	200	added ('OK')	application/javascript	etag:%2285a071435937a48724d881075e6c1244-ssl-df%22	https://irvingtoncti.org/assets/js/jquery.nice-select.min.js	C:/Users/adity/WebstormProjects/citmsjhs/irvingtoncti.org/assets/js/jquery.nice-select.min.js	(from https://irvingtoncti.org/)
12:10:58	4346/4346	---MCZ	200	added ('OK')	application/javascript	etag:%221a57445fc12c7e5d4fe4a19ee2b62ee6-ssl-df%22	https://irvingtoncti.org/assets/js/jquery.sticky.js	C:/Users/adity/WebstormProjects/citmsjhs/irvingtoncti.org/assets/js/jquery.sticky.js	(from https://irvingtoncti.org/)
12:10:59	3048/3048	---MCZ	404	error ('Not%20Found')	text/html	etag:1607211337-ssl-df	https://irvingtoncti.org/assets/js/jquery.barfiller.js	C:/Users/adity/WebstormProjects/citmsjhs/irvingtoncti.org/assets/js/jquery.barfiller.39.delayed	(from https://irvingtoncti.org/)
12:10:59	1067/1067	---M-Z	200	added ('OK')	application/javascript	etag:%221048069a55417ff5a4de0a909a418a66-ssl-df%22	https://irvingtoncti.org/assets/js/jquery.counterup.min.js	C:/Users/adity/WebstormProjects/citmsjhs/irvingtoncti.org/assets/js/jquery.counterup.min.js	(from https://irvingtoncti.org/)
12:10:59	8044/8044	---M-Z	200	added ('OK')	application/javascript	etag:%224962173249435ba8081ac9f96a535118-ssl-df%22	https://irvingtoncti.org/assets/js/waypoints.min.js	C:/Users/adity/WebstormProjects/citmsjhs/irvingtoncti.org/assets/js/waypoints.min.js	(from https://irvingtoncti.org/)
12:11:00	5369/5369	---M-Z	200	added ('OK')	application/javascript	etag:%221229d97a3e0150d0c32aba28b2470d5c-ssl-df%22	https://irvingtoncti.org/assets/js/jquery.countdown.min.js	C:/Users/adity/WebstormProjects/citmsjhs/irvingtoncti.org/assets/js/jquery.countdown.min.js	(from https://irvingtoncti.org/)
12:11:00	867/867	---M--	200	added ('OK')	application/javascript	etag:%221aca8a7262a56a7502f06d4af14950be-ssl%22	https://irvingtoncti.org/assets/js/hover-direction-snake.min.js	C:/Users/adity/WebstormProjects/citmsjhs/irvingtoncti.org/assets/js/hover-direction-snake.min.js	(from https://irvingtoncti.org/)
12:11:00	760/760	---M--	200	added ('OK')	application/javascript	etag:%22befd1422e90a9914266c1f9ddc6399d2-ssl%22	https://irvingtoncti.org/assets/js/plugins.js	C:/Users/adity/WebstormProjects/citmsjhs/irvingtoncti.org/assets/js/plugins.js	(from https://irvingtoncti.org/)
12:11:01	16595563/16595563	---M--	200	added ('OK')	video/mp4	etag:%22f225bbf5fd2eff3430c823fcc9381f0f-ssl%22	https://irvingtoncti.org/videos/aboutus.mp4	C:/Users/adity/WebstormProjects/citmsjhs/irvingtoncti.org/videos/aboutus.mp4	(from https://irvingtoncti.org/)
12:11:01	9211/9211	---MCZ	200	added ('OK')	application/javascript	etag:%22de345c2cd42168810769ef9b82a7d695-ssl-df%22	https://irvingtoncti.org/assets/js/main.js	C:/Users/adity/WebstormProjects/citmsjhs/irvingtoncti.org/assets/js/main.js	(from https://irvingtoncti.org/)
